TOTALS: {'MEMBER_IN_A': 38, 'CONST_IN_A': 76}

======================================================================
MEMBER_IN_A 38
======================================================================
wiimj2d/dol/bases/d_actor              areaCullCheck__8dActor_cCFRC7mVec3_cRC11sRangeDataFUc 00000EB0  fmuls f0, f0, f5 | A=LIT @24859  C=MEM 0xc(r30)
wiimj2d/dol/bases/d_actor              ActorScrOutCheck__8dActor_cFUs                       0000101C  fmuls f0, f1, f0 | A=LIT @24757  C=MEM 0x318(r29)
wiimj2d/dol/bases/d_actor              ActorScrOutCheck__8dActor_cFUs                       00001028  fmuls f0, f1, f0 | A=LIT @24757  C=MEM 0x31c(r29)
wiimj2d/dol/bases/d_actor              ActorDrawCullCheck__8dActor_cFv                      00001100  fmuls f1, f2, f1 | A=LIT @24757  C=MEM 0x318(r3)
wiimj2d/dol/bases/d_actor              ActorDrawCullCheck__8dActor_cFv                      0000110C  fmuls f1, f2, f1 | A=LIT @24757  C=MEM 0x31c(r3)
wiimj2d/dol/bases/d_cc                 _hitCheckCircle__5dCc_cFP5dCc_cP5dCc_c               00000D28  fmuls f1, f0, f1 | A=LIT @14186  C=MEM 0x14(r1)
wiimj2d/dol/bases/d_enemy              posMove__5dEn_cFv                                    00000ED4  fmuls f1, f0, f1 | A=LIT @24116  C=MEM 0xe8(r3)
wiimj2d/dol/bases/d_enemy              MameFumiJumpSet__5dEn_cFP8dActor_c                   00001FB8  fmuls f0, f0, f2 | A=LIT @24382  C=MEM 0xec(r3)
wiimj2d/dol/bases/d_enemy_carry        setThrowSpeed__13dEnemyCarry_cFP8dActor_c            000000B0  fmuls f0, f0, f1 | A=LIT @21436  C=MEM 0xe8(r4)
wiimj2d/dol/bases/d_lytbase            SetScissorMask__9LytBase_cFPCQ34nw4r3lyt4PaneRQ23d2d11ScissorMask 00000F9C  fmuls f30, f1, f0 | A=LIT @15112  C=MEM 0x64(r1)
wiimj2d/dol/bases/d_tag_processor      "RuBySet__14TagProcessor_cFPQ34nw4r2ut15PrintContext<w>" 000008E0  fmuls f2, f3, f1 | A=LIT @7348  C=MEM 0x30(r1)
wiimj2d/dol/bases/d_tag_processor      "RuBySet__14TagProcessor_cFPQ34nw4r2ut15PrintContext<w>" 000008F0  fmuls f3, f3, f1 | A=LIT @7348  C=MEM 0x2c(r1)
wiimj2d/dol/bases/d_tag_processor      setScissorStart__14TagProcessor_cFi                  00000BBC  fmuls f30, f6, f4 | A=LIT @7372  C=MEM 0x34(r1)
wiimj2d/dol/bases/d_tag_processor      "RuByCalcRect__14TagProcessor_cFPQ34nw4r2ut4RectPQ34nw4r2ut15PrintContext<w>" 00001448  fmuls f3, f4, f2 | A=LIT @7348  C=MEM 0x30(r1)
wiimj2d/dol/bases/d_tag_processor      "RuByCalcRect__14TagProcessor_cFPQ34nw4r2ut4RectPQ34nw4r2ut15PrintContext<w>" 00001458  fmuls f4, f4, f2 | A=LIT @7348  C=MEM 0x2c(r1)
wiimj2d/dol/mLib/m_wipe_fader          calcMtx__12mWipeFader_cFv                            00000288  fmuls f2, f4, f2 | A=LIT @4746  C=MEM 0x48(r31)
wiimj2d/dol/mLib/m_wipe_fader          draw__12mWipeFader_cFv                               0000031C  fmuls f31, f1, f0 | A=LIT @4760  C=MEM 0x48(r3)

